"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24381,158,"NLD","Netherlands",2,"Flevoland",16,"Noordoostpolder"," "," ","Gemeente","Municipality"
24382,158,"NLD","Netherlands",2,"Flevoland",17,"Urk"," "," ","Gemeente","Municipality"
24383,158,"NLD","Netherlands",2,"Flevoland",18,"Zeewolde"," "," ","Gemeente","Municipality"
24384,158,"NLD","Netherlands",3,"Friesland",19,"Achtkarspelen"," "," ","Gemeente","Municipality"
24385,158,"NLD","Netherlands",3,"Friesland",20,"Ameland"," "," ","Gemeente","Municipality"
24386,158,"NLD","Netherlands",3,"Friesland",21,"Boarnsterhim"," "," ","Gemeente","Municipality"
24387,158,"NLD","Netherlands",3,"Friesland",22,"Bolsward"," "," ","Gemeente","Municipality"
24388,158,"NLD","Netherlands",3,"Friesland",23,"Dantumadeel"," "," ","Gemeente","Municipality"
24389,158,"NLD","Netherlands",3,"Friesland",24,"Dongeradeel"," "," ","Gemeente","Municipality"
24390,158,"NLD","Netherlands",3,"Friesland",25,"Ferwerderadiel"," ","Ferwerderadeel","Gemeente","Municipality"
24391,158,"NLD","Netherlands",3,"Friesland",26,"Franekeradeel"," "," ","Gemeente","Municipality"
24392,158,"NLD","Netherlands",3,"Friesland",27,"Gaasterlân-Sleat"," "," ","Gemeente","Municipality"
24393,158,"NLD","Netherlands",3,"Friesland",28,"Harlingen"," "," ","Gemeente","Municipality"
24394,158,"NLD","Netherlands",3,"Friesland",29,"Heerenveen"," "," ","Gemeente","Municipality"
24395,158,"NLD","Netherlands",3,"Friesland",30,"Het Bildt"," "," ","Gemeente","Municipality"
24396,158,"NLD","Netherlands",3,"Friesland",31,"Kollumerland c.a."," ","Kollumerland en Nieuwkruisland","Gemeente","Municipality"
24397,158,"NLD","Netherlands",3,"Friesland",32,"Leeuwarden"," "," ","Gemeente","Municipality"
24398,158,"NLD","Netherlands",3,"Friesland",33,"Leeuwarderadeel"," "," ","Gemeente","Municipality"
24399,158,"NLD","Netherlands",3,"Friesland",34,"Lemsterland"," "," ","Gemeente","Municipality"
24400,158,"NLD","Netherlands",3,"Friesland",35,"Littenseradiel"," "," ","Gemeente","Municipality"
24401,158,"NLD","Netherlands",3,"Friesland",36,"Menaldumadeel"," "," ","Gemeente","Municipality"
24402,158,"NLD","Netherlands",3,"Friesland",37,"Nijefurd"," "," ","Gemeente","Municipality"
24403,158,"NLD","Netherlands",3,"Friesland",38,"Ooststellingwerf"," "," ","Gemeente","Municipality"
24404,158,"NLD","Netherlands",3,"Friesland",39,"Opsterland"," "," ","Gemeente","Municipality"
24405,158,"NLD","Netherlands",3,"Friesland",40,"Schiermonnikoog"," "," ","Gemeente","Municipality"
24406,158,"NLD","Netherlands",3,"Friesland",41,"Skarsterlân"," "," ","Gemeente","Municipality"
24407,158,"NLD","Netherlands",3,"Friesland",42,"Smallingerland"," "," ","Gemeente","Municipality"
24408,158,"NLD","Netherlands",3,"Friesland",43,"Sneek"," "," ","Gemeente","Municipality"
24409,158,"NLD","Netherlands",3,"Friesland",44,"Terschelling"," "," ","Gemeente","Municipality"
24410,158,"NLD","Netherlands",3,"Friesland",45,"Tytsjerksteradiel"," "," ","Gemeente","Municipality"
24411,158,"NLD","Netherlands",3,"Friesland",46,"Vlieland"," "," ","Gemeente","Municipality"
24412,158,"NLD","Netherlands",3,"Friesland",47,"Weststellingwerf"," "," ","Gemeente","Municipality"
24413,158,"NLD","Netherlands",3,"Friesland",48,"Wûnseradiel"," "," ","Gemeente","Municipality"
24414,158,"NLD","Netherlands",3,"Friesland",49,"Wymbritseradiel"," "," ","Gemeente","Municipality"
24415,158,"NLD","Netherlands",4,"Gelderland",50,"Aalten"," "," ","Gemeente","Municipality"
24416,158,"NLD","Netherlands",4,"Gelderland",51,"Angerlo"," "," ","Gemeente","Municipality"
24417,158,"NLD","Netherlands",4,"Gelderland",52,"Apeldoorn"," "," ","Gemeente","Municipality"
24418,158,"NLD","Netherlands",4,"Gelderland",53,"Arnhem"," "," ","Gemeente","Municipality"
24419,158,"NLD","Netherlands",4,"Gelderland",54,"Barneveld"," "," ","Gemeente","Municipality"
24420,158,"NLD","Netherlands",4,"Gelderland",55,"Bergh"," "," ","Gemeente","Municipality"
24421,158,"NLD","Netherlands",4,"Gelderland",56,"Beuningen"," "," ","Gemeente","Municipality"
24422,158,"NLD","Netherlands",4,"Gelderland",57,"Borculo"," "," ","Gemeente","Municipality"
24423,158,"NLD","Netherlands",4,"Gelderland",58,"Brummen"," "," ","Gemeente","Municipality"
24424,158,"NLD","Netherlands",4,"Gelderland",59,"Buren"," "," ","Gemeente","Municipality"
24425,158,"NLD","Netherlands",4,"Gelderland",60,"Culemborg"," "," ","Gemeente","Municipality"
24426,158,"NLD","Netherlands",4,"Gelderland",61,"Didam"," "," ","Gemeente","Municipality"
24427,158,"NLD","Netherlands",4,"Gelderland",62,"Dinxperlo"," "," ","Gemeente","Municipality"
24428,158,"NLD","Netherlands",4,"Gelderland",63,"Doesburg"," "," ","Gemeente","Municipality"
24429,158,"NLD","Netherlands",4,"Gelderland",64,"Doetinchem"," "," ","Gemeente","Municipality"
24430,158,"NLD","Netherlands",4,"Gelderland",65,"Druten"," "," ","Gemeente","Municipality"
24431,158,"NLD","Netherlands",4,"Gelderland",66,"Duiven"," "," ","Gemeente","Municipality"
24432,158,"NLD","Netherlands",4,"Gelderland",67,"Ede"," "," ","Gemeente","Municipality"
24433,158,"NLD","Netherlands",4,"Gelderland",68,"Eibergen"," "," ","Gemeente","Municipality"
24434,158,"NLD","Netherlands",4,"Gelderland",69,"Elburg"," "," ","Gemeente","Municipality"
24435,158,"NLD","Netherlands",4,"Gelderland",70,"Epe"," "," ","Gemeente","Municipality"
24436,158,"NLD","Netherlands",4,"Gelderland",71,"Ermelo"," "," ","Gemeente","Municipality"
24437,158,"NLD","Netherlands",4,"Gelderland",72,"Geldermalsen"," "," ","Gemeente","Municipality"
24438,158,"NLD","Netherlands",4,"Gelderland",73,"Gendringen"," "," ","Gemeente","Municipality"
24439,158,"NLD","Netherlands",4,"Gelderland",74,"Gorssel"," "," ","Gemeente","Municipality"
24440,158,"NLD","Netherlands",4,"Gelderland",75,"Groenlo"," "," ","Gemeente","Municipality"
